epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9818,1.65036,1.1759,1.26045,0.63325,0.53592,0.6142,0.34739,1.76862,1.51895,1.50204,0.07648,0.00048,0.00048
2,123.331,1.6024,1.14614,1.25994,0.65094,0.66268,0.69291,0.38446,1.61667,1.17173,1.48778,0.0519798,0.000979761,0.000979761
3,182.35,1.61006,1.12853,1.2632,0.66486,0.74087,0.71101,0.37313,1.6909,1.12247,1.53558,0.0274786,0.00147855,0.00147855
4,240.841,1.60428,1.11037,1.24644,0.62417,0.61532,0.65026,0.37833,1.75111,1.17778,1.56158,0.00297565,0.00197565,0.00197565
5,299.846,1.64585,1.15524,1.24124,0.64197,0.59665,0.66483,0.36738,1.70524,1.1526,1.52739,0.00199219,0.00199219,0.00199219
6,358.31,1.57896,1.11796,1.2634,0.70901,0.58524,0.65306,0.3833,1.65385,1.15047,1.52758,0.00198781,0.00198781,0.00198781
7,417.804,1.60183,1.11458,1.2171,0.75374,0.56722,0.69057,0.39806,1.65232,1.11003,1.48058,0.00198246,0.00198246,0.00198246
8,476.539,1.60267,1.16919,1.20305,0.74251,0.57834,0.68021,0.37937,1.67436,1.15148,1.46942,0.00197616,0.00197616,0.00197616
9,535.227,1.61288,1.15881,1.21573,0.66846,0.61082,0.67174,0.36245,1.68582,1.16521,1.49024,0.0019689,0.0019689,0.0019689
10,593.16,1.51782,1.0762,1.24071,0.66615,0.60598,0.66642,0.38757,1.67006,1.13952,1.4666,0.00196069,0.00196069,0.00196069
11,652.216,1.66608,1.17104,1.25603,0.66268,0.61167,0.71086,0.39706,1.72478,1.16151,1.49282,0.00195155,0.00195155,0.00195155
12,711.018,1.57512,1.09981,1.2169,0.70988,0.6583,0.68587,0.40036,1.70491,1.14676,1.48695,0.00194147,0.00194147,0.00194147
13,769.525,1.53044,1.08779,1.23293,0.79411,0.59276,0.68449,0.39644,1.6945,1.16036,1.48499,0.00193048,0.00193048,0.00193048
14,828.058,1.64183,1.11768,1.22442,0.75173,0.56272,0.64826,0.3776,1.70832,1.19895,1.50369,0.00191858,0.00191858,0.00191858
15,886.643,1.625,1.17086,1.20816,0.6776,0.60746,0.64535,0.389,1.67529,1.15464,1.4867,0.00190578,0.00190578,0.00190578
16,944.986,1.54322,1.09962,1.22111,0.62086,0.63096,0.65572,0.38719,1.69186,1.119,1.51145,0.0018921,0.0018921,0.0018921
17,1003.39,1.58747,1.11747,1.21895,0.6261,0.65575,0.6727,0.39632,1.69357,1.13992,1.49935,0.00187754,0.00187754,0.00187754
18,1061.73,1.61209,1.13736,1.23165,0.60307,0.62215,0.6548,0.38425,1.62836,1.16805,1.4763,0.00186213,0.00186213,0.00186213
19,1120.33,1.53397,1.08472,1.20353,0.63281,0.595,0.67175,0.40608,1.62544,1.11183,1.4864,0.00184588,0.00184588,0.00184588
20,1178.31,1.54876,1.09646,1.19935,0.647,0.65606,0.68885,0.39471,1.64352,1.09519,1.53627,0.00182881,0.00182881,0.00182881
21,1237.19,1.55619,1.09562,1.19154,0.71355,0.59991,0.69544,0.39916,1.67583,1.14273,1.53986,0.00181093,0.00181093,0.00181093
22,1296.66,1.55307,1.09871,1.22328,0.64628,0.61622,0.65032,0.39108,1.69447,1.14585,1.53733,0.00179225,0.00179225,0.00179225
23,1356.94,1.49489,1.02987,1.24214,0.69707,0.61503,0.66893,0.41233,1.66918,1.17247,1.49873,0.00177281,0.00177281,0.00177281
24,1415.9,1.49294,1.04502,1.23162,0.65195,0.58786,0.63151,0.38017,1.69522,1.24596,1.50831,0.00175261,0.00175261,0.00175261
25,1476.58,1.44844,1.00729,1.17612,0.75122,0.55053,0.61462,0.36871,1.75478,1.26268,1.54919,0.00173168,0.00173168,0.00173168
26,1535.57,1.50123,1.02399,1.21937,0.676,0.58975,0.65095,0.40972,1.68163,1.14854,1.58393,0.00171004,0.00171004,0.00171004
27,1593.64,1.52248,1.08315,1.29921,0.63107,0.6472,0.70945,0.43896,1.61668,1.06114,1.57177,0.0016877,0.0016877,0.0016877
28,1651.88,1.51771,1.06127,1.18091,0.64662,0.63209,0.66593,0.41095,1.66233,1.06233,1.5295,0.0016647,0.0016647,0.0016647
29,1711.7,1.57253,1.11427,1.1957,0.66478,0.62103,0.663,0.40048,1.63683,1.1584,1.47923,0.00164105,0.00164105,0.00164105
30,1770.89,1.47347,1.01926,1.19026,0.77938,0.57173,0.69605,0.41702,1.62353,1.12582,1.50108,0.00161678,0.00161678,0.00161678
31,1830.63,1.47215,1.03379,1.22737,0.74646,0.60665,0.70069,0.42036,1.59492,1.13758,1.48211,0.00159191,0.00159191,0.00159191
32,1890.11,1.50047,1.00778,1.17869,0.70491,0.50973,0.62798,0.38277,1.65261,1.15769,1.52397,0.00156646,0.00156646,0.00156646
33,1948.32,1.48969,1.02875,1.20814,0.67547,0.55371,0.64504,0.38664,1.65718,1.11568,1.54184,0.00154047,0.00154047,0.00154047
34,2006.63,1.49943,1.00974,1.20361,0.65022,0.57766,0.65276,0.39019,1.63541,1.07713,1.55643,0.00151395,0.00151395,0.00151395
35,2064.86,1.47286,0.98633,1.20502,0.781,0.61197,0.66102,0.38654,1.64797,1.1282,1.5786,0.00148694,0.00148694,0.00148694
36,2124.42,1.43302,1.0128,1.2241,0.67542,0.5742,0.64056,0.37992,1.66268,1.09717,1.56325,0.00145945,0.00145945,0.00145945
37,2183.89,1.54227,1.03927,1.16033,0.70519,0.62951,0.68121,0.40111,1.61825,1.06586,1.52692,0.00143152,0.00143152,0.00143152
38,2247.86,1.50493,1.03369,1.20066,0.74201,0.56092,0.65157,0.40893,1.61231,1.08124,1.51851,0.00140318,0.00140318,0.00140318
39,2307.03,1.48346,1.02878,1.18967,0.70136,0.57629,0.64289,0.40287,1.61064,1.1083,1.50606,0.00137444,0.00137444,0.00137444
40,2366.16,1.4293,0.9989,1.18955,0.83694,0.60086,0.68952,0.41319,1.6181,1.0988,1.52472,0.00134535,0.00134535,0.00134535
41,2425.57,1.47399,1.03071,1.21065,0.7837,0.68053,0.76414,0.43491,1.63587,1.08599,1.5345,0.00131593,0.00131593,0.00131593
42,2484.56,1.51631,1.06594,1.24642,0.69365,0.66829,0.73704,0.42899,1.67097,1.07801,1.57246,0.0012862,0.0012862,0.0012862
43,2543.42,1.38921,0.94345,1.19037,0.63501,0.65936,0.70452,0.4254,1.64152,1.06802,1.54503,0.0012562,0.0012562,0.0012562
44,2601.92,1.47612,0.98805,1.21339,0.67634,0.6411,0.67347,0.40767,1.65318,1.06555,1.5198,0.00122596,0.00122596,0.00122596
45,2659.91,1.46669,1.00833,1.21158,0.70496,0.68421,0.724,0.42186,1.64838,1.06446,1.53653,0.00119551,0.00119551,0.00119551
46,2718.84,1.44166,0.9783,1.17585,0.61738,0.71201,0.70055,0.42888,1.60787,1.05304,1.50554,0.00116487,0.00116487,0.00116487
47,2776.93,1.43989,0.98213,1.18725,0.65242,0.68134,0.70021,0.42071,1.61367,1.06288,1.49601,0.00113408,0.00113408,0.00113408
48,2835.44,1.45391,0.97374,1.22125,0.69915,0.66029,0.71143,0.4226,1.62955,1.04745,1.50711,0.00110317,0.00110317,0.00110317
49,2893.12,1.45292,1.02025,1.19779,0.58018,0.65144,0.70769,0.4381,1.64019,1.06422,1.53189,0.00107216,0.00107216,0.00107216
50,2951.18,1.39759,0.94176,1.18676,0.73167,0.61636,0.7123,0.43402,1.64485,1.0709,1.54946,0.0010411,0.0010411,0.0010411
51,3009.7,1.42104,0.96678,1.19937,0.73445,0.59129,0.69723,0.42717,1.59547,1.0929,1.50846,0.00101,0.00101,0.00101
52,3069.07,1.4376,0.95799,1.19911,0.64118,0.66782,0.69367,0.42543,1.59393,1.11187,1.51565,0.000978903,0.000978903,0.000978903
53,3127.56,1.3784,0.92999,1.2052,0.66759,0.6477,0.71036,0.42262,1.5995,1.10652,1.52043,0.000947837,0.000947837,0.000947837
54,3186.6,1.40794,0.97227,1.20997,0.6833,0.63648,0.71767,0.42237,1.61368,1.07477,1.51337,0.000916833,0.000916833,0.000916833
55,3245.24,1.34596,0.91814,1.16693,0.65721,0.63752,0.70414,0.41807,1.61398,1.0675,1.50269,0.00088592,0.00088592,0.00088592
56,3304.11,1.37203,0.94056,1.18925,0.79148,0.51444,0.68594,0.42131,1.64561,1.0674,1.54733,0.00085513,0.00085513,0.00085513
57,3362.7,1.35639,0.94378,1.18039,0.71088,0.64417,0.70931,0.43313,1.65605,1.05577,1.58003,0.000824492,0.000824492,0.000824492
58,3422.27,1.36388,0.92317,1.17496,0.63978,0.69005,0.69659,0.43606,1.65314,1.03675,1.58446,0.000794038,0.000794038,0.000794038
59,3482.58,1.4648,1.00771,1.16529,0.57625,0.71955,0.7085,0.42668,1.65255,1.04198,1.56263,0.000763797,0.000763797,0.000763797
60,3542.12,1.44743,0.9475,1.17265,0.65577,0.67108,0.70351,0.43102,1.60925,1.05237,1.52415,0.000733799,0.000733799,0.000733799
61,3603.17,1.4398,0.96522,1.17884,0.63992,0.70655,0.71246,0.43852,1.60832,1.07074,1.5206,0.000704073,0.000704073,0.000704073
