epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.572,2.39307,3.39618,1.65139,0.65816,0.23668,0.35004,0.18478,1.9386,3.78475,1.43121,0.0881724,0.000241379,0.000241379
2,220.696,2.43297,2.86975,1.70005,0.6842,0.41493,0.51637,0.32322,1.86174,2.92684,1.54612,0.0759223,0.000491296,0.000491296
3,324.92,2.42854,2.92456,1.63074,0.73964,0.4488,0.56869,0.35037,1.68283,2.41709,1.47071,0.0636719,0.000740876,0.000740876
4,428.796,2.38873,2.84904,1.66075,0.77922,0.49412,0.60081,0.36995,1.63169,1.82718,1.45136,0.0514209,0.000989867,0.000989867
5,531.9,2.34458,2.72526,1.58564,0.76435,0.51223,0.63406,0.37216,1.60921,1.54784,1.47697,0.039169,0.00123801,0.00123801
6,636.676,2.387,2.76986,1.57332,0.76202,0.53081,0.6629,0.38138,1.67811,1.58584,1.5319,0.0269161,0.00148506,0.00148506
7,743.406,2.33939,2.79348,1.57066,0.71344,0.50069,0.58889,0.36807,1.71174,1.49304,1.56513,0.0146618,0.00173077,0.00173077
8,852.792,2.3027,2.71559,1.53762,0.77108,0.4831,0.60626,0.36309,1.7417,1.74251,1.52839,0.00240591,0.00197487,0.00197487
9,955.543,2.28464,2.6351,1.58601,0.71578,0.47439,0.56589,0.34167,1.68864,1.69765,1.48189,0.00197837,0.00197837,0.00197837
10,1057.64,2.31994,2.64508,1.55915,0.65362,0.58687,0.65365,0.36366,1.69142,1.432,1.50812,0.00197265,0.00197265,0.00197265
11,1159.6,2.2742,2.62342,1.5324,0.61586,0.44526,0.53083,0.29825,1.78339,1.65975,1.56403,0.00196627,0.00196627,0.00196627
12,1262.01,2.29139,2.68174,1.52634,0.67186,0.46186,0.52047,0.32163,1.68812,1.66493,1.54567,0.00195923,0.00195923,0.00195923
13,1364.54,2.21943,2.55754,1.55947,0.68916,0.52086,0.62376,0.35961,1.62518,1.51471,1.48524,0.00195155,0.00195155,0.00195155
14,1467.59,2.26765,2.61144,1.5589,0.64174,0.58178,0.62809,0.36176,1.64896,1.54283,1.47743,0.00194322,0.00194322,0.00194322
15,1570.24,2.21377,2.51162,1.52282,0.74546,0.62098,0.70097,0.38158,1.63803,1.44244,1.49405,0.00193424,0.00193424,0.00193424
16,1672.51,2.33979,2.68632,1.6369,0.69224,0.52651,0.64399,0.35864,1.6308,1.44031,1.52985,0.00192464,0.00192464,0.00192464
17,1774.9,2.20841,2.51156,1.5923,0.65363,0.46167,0.55947,0.3457,1.6241,1.61169,1.52636,0.00191441,0.00191441,0.00191441
18,1877.48,2.26765,2.5454,1.53602,0.72917,0.44145,0.5469,0.33101,1.67504,1.76257,1.55396,0.00190356,0.00190356,0.00190356
19,1980.34,2.30676,2.63094,1.59594,0.6905,0.47237,0.54823,0.32648,1.67037,1.63491,1.52625,0.0018921,0.0018921,0.0018921
20,2082.64,2.33042,2.63981,1.54685,0.6057,0.44659,0.51378,0.3337,1.67169,1.70885,1.51448,0.00188003,0.00188003,0.00188003
21,2184.89,2.23415,2.55821,1.53945,0.78403,0.45637,0.52748,0.33523,1.73356,1.96575,1.57973,0.00186737,0.00186737,0.00186737
22,2287.49,2.1576,2.5264,1.51646,0.75268,0.42405,0.50676,0.31062,1.76287,1.83939,1.58086,0.00185411,0.00185411,0.00185411
23,2389.8,2.28207,2.60962,1.57029,0.66733,0.44446,0.52417,0.32795,1.68886,1.63575,1.56198,0.00184028,0.00184028,0.00184028
24,2491.76,2.27924,2.57178,1.54806,0.67759,0.47042,0.52642,0.33353,1.67373,1.68623,1.52654,0.00182588,0.00182588,0.00182588
25,2594.02,2.27282,2.59593,1.57707,0.71323,0.46827,0.53283,0.34146,1.69746,1.78172,1.53092,0.00181093,0.00181093,0.00181093
26,2696.12,2.14857,2.46091,1.52675,0.72127,0.49901,0.54048,0.33919,1.68278,1.72126,1.51758,0.00179542,0.00179542,0.00179542
27,2798.43,2.20919,2.4972,1.55527,0.70197,0.47517,0.51648,0.32452,1.6909,1.5376,1.5196,0.00177937,0.00177937,0.00177937
28,2901.04,2.18406,2.42371,1.51332,0.66428,0.44316,0.51434,0.32405,1.69712,1.47589,1.54976,0.0017628,0.0017628,0.0017628
29,3003.64,2.2821,2.64175,1.58386,0.67611,0.46088,0.53021,0.33365,1.67247,1.65597,1.51616,0.00174571,0.00174571,0.00174571
30,3105.92,2.22105,2.48741,1.51205,0.69956,0.5133,0.59486,0.35309,1.69481,1.72711,1.55212,0.00172812,0.00172812,0.00172812
31,3208.18,2.25083,2.47057,1.59158,0.719,0.50054,0.5887,0.35569,1.66249,1.58002,1.55533,0.00171004,0.00171004,0.00171004
32,3310.37,2.19771,2.48691,1.50401,0.64724,0.5254,0.56307,0.35235,1.67362,1.58503,1.54009,0.00169147,0.00169147,0.00169147
33,3412.41,2.28461,2.57908,1.59816,0.62488,0.54012,0.5712,0.35108,1.68957,1.55241,1.55455,0.00167244,0.00167244,0.00167244
34,3515.18,2.2314,2.4549,1.55809,0.58677,0.54746,0.55882,0.34355,1.68544,1.63535,1.49654,0.00165295,0.00165295,0.00165295
35,3617.56,2.16321,2.42107,1.56451,0.56262,0.72866,0.65357,0.36936,1.68982,1.46866,1.47483,0.00163303,0.00163303,0.00163303
